SUBJECTID,AGE(Y),SEX,BB/IS,VIDORDER,PRETEST,CTRL_1_A,CTRL_1_B,CTRL_1_C,CTRL_1_D,CTRL_2_A,CTRL_2_B,CTRL_2_C,CTRL_2_D,MAIN_1_A,MAIN_1_B,MAIN_1_C,MAIN_2_A,MAIN_2_B,MAIN_2__C
0,4,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1
2,4,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0
3,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,4,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
6,4,1,0,0,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1
7,4,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
8,4,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0
9,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,4,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
11,4,0,0,0,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1
12,4,0,0,0,1,1,1,0,1,NA,NA,NA,NA,1,1,1,1,0,1
13,4,1,0,1,0,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1
14,4,1,0,0,0,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1
15,4,0,0,1,0,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1
16,4,0,0,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1
17,4,0,0,1,0,1,1,1,1,NA,NA,NA,NA,1,2,1,1,1,1
18,4,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0,0
19,4,1,0,0,1,1,1,1,1,NA,NA,NA,NA,1,2,2,1,1,1
20,4,1,0,1,1,1,1,1,0,NA,NA,NA,NA,1,0,1,1,2,1
