,ID,AGE(Y),SEX,BB/IS,CONDITION,SUBCONDITION,VIDORDER,PRETEST,CTRL_1_A,CTRL_1_B,CTRL_1_C,CTRL_1_D,CTRL_1__E,CTRL_2_A,CTRL_2_B,CTRL_2_C,CTRL_2_D,CTRL_2__E,MAIN_1_A,MAIN_1_B,MAIN_1_C,MAIN_2_A,MAIN_2_B,MAIN_2__C
#REF!,1,5,1,1,1,2,1,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
#REF!,2,6,1,0,0,0,0,1,1,1,0,0,NaN,1,1,1,1,NaN,1,0,1,1,0,0
#REF!,3,6,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,2,2,1,1,1
#REF!,4,6,1,1,1,1,1,1,1,1,1,0,NaN,2,1,1,0,NaN,0,2,2,0,1,1
#REF!,5,6,1,1,1,1,0,1,2,0,1,1,NaN,0,1,0,0,NaN,1,2,2,1,0,1
#REF!,6,6,1,0,0,3,0,1,1,0,0,1,NaN,1,1,0,0,NaN,1,2,2,1,2,2
#REF!,7,5,1,0,0,0,0,1,0,0,0,1,NaN,1,1,1,1,NaN,0,1,1,1,0,0
#REF!,8,5,1,0,0,0,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,0,0,1,1,0
#REF!,9,6,0,1,1,0,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
#REF!,10,6,0,0,0,0,0,0,1,1,1,1,NaN,1,1,1,1,NaN,1,0,0,1,0,0
#REF!,11,6,1,0,0,0,0,1,0,0,0,1,NaN,0,0,0,0,NaN,1,0,0,1,0,0
#REF!,12,6,1,0,0,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,0,1,1,1
#REF!,13,6,0,1,1,0,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,14,6,0,1,1,0,1,1,1,1,0,0,NaN,2,0,1,1,NaN,0,2,1,0,1,2
#REF!,15,6,0,0,0,1,0,0,1,1,1,0,NaN,1,1,1,1,NaN,1,0,0,1,1,1
#REF!,16,5,0,0,0,1,1,1,0,0,0,1,NaN,0,0,0,0,NaN,1,0,0,1,0,0
#REF!,17,5,1,1,0,0,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,18,6,1,1,1,0,1,1,0,1,1,0,NaN,1,1,0,0,NaN,0,1,2,0,1,1
#REF!,19,5,1,1,1,1,0,0,1,1,0,0,NaN,1,0,1,1,NaN,1,2,0,1,0,0
#REF!,20,5,0,0,0,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,21,5,1,0,0,0,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,22,5,1,0,0,2,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,23,5,0,0,0,0,1,1,1,0,1,1,NaN,1,1,0,0,NaN,1,0,1,1,1,0
#REF!,24,6,1,0,0,3,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,26,6,1,0,0,2,1,1,1,1,1,1,NaN,0,1,1,1,NaN,1,1,1,1,1,1
#REF!,27,5,1,0,0,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,28,6,1,0,0,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,29,0,0,1000,10000,1000000,1000000,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1
#REF!,30,0,0,1000,10000,1000000,1000000,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1
#REF!,31,0,0,1000,10000,1000000,1000000,1,0,0,1,1,NaN,0,0,1,NaN,1,1,0,1,1,0,1
#REF!,32,5,0,1,1,0,0,1,1,2,1,0,NaN,1,1,0,0,NaN,0,0,1,0,1,0
#REF!,33,5,0,1,1,0,0,0,0,0,0,1,NaN,0,0,0,0,NaN,0,2,2,0,0,1
#REF!,34,6,1,0,0,3,0,1,1,0,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,35,5,1,0,0,3,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,36,6,0,0,0,0,1,1,1,0,1,0,NaN,1,1,1,1,NaN,1,1,0,1,1,0
#REF!,37,5,1,1,1,3,0,1,1,1,1,0,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,38,6,1,0,0,3,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,39,5,0,1,1,0,1,1,1,1,1,0,NaN,1,1,1,1,NaN,0,0,1,0,0,1
#REF!,40,5,1,0,0,3,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,2,2,1,2,2
#REF!,41,5,1,0,0,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1
#REF!,42,6,0,1,1,1,1,1,0,0,1,0,NaN,0,0,1,0,NaN,0,0,1,0,0,1
#REF!,43,6,1,0,0,2,1,1,0,0,1,1,NaN,1,0,1,1,NaN,1,0,0,1,1,1
#REF!,44,5,1,0,0,2,1,1,1,1,1,1,NaN,1,1,0,0,NaN,1,0,1,1,1,1
#REF!,45,5,0,0,0,3,1,0,1,1,1,1,NaN,0,1,1,1,NaN,1,0,0,1,0,0
#REF!,46,6,1,0,0,2,0,0,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,0,0
#REF!,47,6,0,0,0,2,0,1,1,1,0,1,NaN,1,1,0,1,NaN,1,0,1,1,0,1
#REF!,48,5,0,1,1,0,1,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
#REF!,49,5,0,1,1,1,1,1,1,1,1,0,NaN,2,1,1,1,NaN,0,1,1,0,1,1
#REF!,50,5,0,1,1,1,1,1,1,0,1,0,NaN,1,1,0,1,NaN,0,0,1,0,0,0
#REF!,51,5,1,0,0,3,0,1,0,1,1,1,NaN,0,1,1,1,NaN,1,2,2,1,0,1
#REF!,52,5,0,1,1,1,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
#REF!,53,6,0,1,1,2,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,0,1
#REF!,54,5,0,1,1,2,0,1,1,1,1,0,NaN,1,1,1,1,NaN,0,1,1,0,1,1
#REF!,55,6,0,1,1,2,0,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
#REF!,56,5,1,1,1,2,0,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,1,1,0
#REF!,57,6,1,1,1,2,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
#REF!,58,6,0,1,1,2,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
#REF!,59,6,0,1,1,3,0,1,1,0,1,0,NaN,0,1,1,0,NaN,0,1,0,0,1,0
#REF!,60,6,1,1,1,3,1,1,1,1,1,0,NaN,0,0,1,0,NaN,0,1,1,0,1,1
#REF!,61,6,0,1,1,3,0,1,1,1,1,0,NaN,1,1,1,0,N/A,0,1,1,0,1,1
#REF!,62,5,0,1,1,3,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
#REF!,63,5,1,1,1,3,1,1,1,1,1,0,NaN,1,1,1,0,NaN,0,1,1,0,1,1
#REF!,64,5,0,1,0,1,0,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1
#REF!,65,5,0,0,3,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1
#REF!,66,6,0,0,0,1,0,1,0,0,1,1,NaN,0,0,1,NaN,1,1,0,1,1,0,1
